title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],null,75314,8.3,795222
Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],null,71853,8.2,530877
Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],null,79470,8,392419
The Exorcist,MOVIE,1973,R,133,['horror'],['US'],null,70047,8.1,391942
Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4,63929,8.8,72895
Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],null,66999,7.7,153463
My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],null,58385,7.8,94121
The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],null,80453,5.8,69053
Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],null,61418,7.7,111189
The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],null,60862,7.3,16168
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],null,79833,7.6,30277
Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],null,79807,8.1,5141
The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],null,81071,6.9,11329
Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],null,91182,7.5,2416
FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],null,68562,6.2,411
Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],null,92099,6.9,329656
Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9,98904,8.9,302700
Stand by Me,MOVIE,1986,R,89,['drama'],['US'],null,92005,8.1,392790
Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",null,87843,8.3,342335
When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],null,98635,7.7,212913
Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",null,758,6.7,92647
Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",null,93058,8.3,723306
Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],null,85333,6.7,80945
A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],null,87800,7.4,230543
Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4,83437,6.9,33760
Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],null,99077,7.8,137549
Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24,86815,6.5,4948
Annie,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],null,83564,6.6,44866
Pet Sematary,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],null,98084,6.5,102212
Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5,96694,7.1,34854
She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],null,91939,6.7,14277
Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],null,92948,7.6,19646
Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],null,82329,4.9,8374
Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39,72584,6.7,3126
Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4,96643,6.4,2866
Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13,29829,6.1,1759
Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10,81848,7.4,3514
Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],null,7403,7.2,651
Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],null,84352,7.9,15186
Bill Hicks: Sane Man,MOVIE,1989,R,81,['comedy'],['US'],null,,,
High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1,94478,3.8,6
The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",null,14214,6.5,92224
